translation_key,korean
cd36ffe66d9604bd72d3482c4bc8d9a7b8c74845afc1015aee1f3bb9ae90db18,%s전용기 한계+50
d0cce79e2e866a70f4619d099e44aade9f1999cc9b501a238ea4e788673bcb9c,백식
9393fd8d5a6be5de6b34cba3be0d2122dedd723f953c5de376e8bce48bd793c7,백식[F]
351562ff38a0186ab18d814a666d2dd06b9e261c07e10311bad2dcac24f2c816,백식[메가바주카런처]
e089e658045e78f1715ec2f84a7dabc1b88ea7e12822d9381ed42dcdcedb2588,백식改
289a1fb59f2e8c37447b10d80f346249a7c2a7e0ee1bafed7cbbf18f34e96395,백식改[F]
b22bfcc3c935aefc6da3f1a2a08fa5c3bf982366d040721050a9f7ebcfdb32ce,백식･M
352f739e4185aa40bf00bbcfb731d4b78f5f4dd1752600eafe3290a29382d837,120mm 캐논
400e9ca14c5de5d0fc5536397cd040b4f2cae560a8e66954b32e94c1a16f2965,120mm 포
bac0c84eef1037393ade31f16f09ae7249b517187e6fadd92a662698d0ff6098,150mm 캐논
25994e7cf62fcc5b2321b935a2c6a729e98b4bbd73784796fb8353ca44f48ea2,180mm 캐논
65d830d03f345b3502dbaa14d952602eeaf959e19fa08fab130eaca5297cdf0a,180mm 포
7bb3712e86359dadb9e8393100f388bb597fc40e252f3b14227e07501ce300e5,20mm 발칸
78852c355ac409a9f6f4316c52575e737525af521991a50ae0b3303ab8560217,240mm 캐논
e10b45e15b1e519b27d6466422e29720cc9de54b65388190c003bb3c429ca473,30cm포
37b2cbf48c9c2c883995db938423930dc9d775d00ed118a0a163cccae8e73096,30mm 발칸
54d17da5fb8458c5271a5ab08be10c16198e455e24a771f0b8d6599aac2b96f6,3연 발칸
8839b89aa3bb24ec6e47b69402a415ac8eedef288c5c7dc4079221072d1b20d6,40mm 머신건
3e6f4451f81a5f764548e4cb8dfd87f04809fb35a09b22aaeee187741fb02242,61식전차
50605309484741f4b8c1283d91d342dcf468c25427984a988af68b3690d9a856,61식전차/개발
255a43142a7c7693d3866cc15963179c3384e9afa81e2fa735004bea6ca41022,68cm 캐논
a07365c5433146fecd85008c33ba6d7a179a01d8a126ea59432fafcc31d8cc48,90mm 개틀링
96be46967014cb3fabc4e1e1ac37cd3e8dda5ed17d440cb1d2c76f62ca87daab,AGX-04/개발
f085c6c328f647e0ab84cd277a31b8069ee691e8a9e7e0481a7b2708879b8674,AGX-04/개수형･개발
20bc7195e8d5563f33aa8ce931c7c7f44a732718e95107ee34da7117b9ce443c,AMA-01X/고기동형･개발
c247b8ac422cbbc6f088e20bd22d5ed47b6a100dc40dfe150cd55823bbe613b2,AMA-100/개발
0de6601e39eb8d6aeab979f22f05445add3c59cce8fd4c47a59d8b2ed23c2c64,AMS-119/개발
f8c32203e0ed543f11be97c62221675dd73a551eacf6b8a352019e57fe9a8969,AMS-119/에이스커스텀
099ac73b7ce2310dbe3e9ed1b914e9de7da75633f5b5277598ed2935f6827d22,AMX-002/개발
08f218229c843a1bde0601c4f138e78d5ac5b9f79597f6cdc03af3c0c7b96901,AMX-002S/P커스텀[CA]
31f448e7af5c5bda88bc408bebda3a9afb8aff9b9eaf2d98f6ccb2cde6a2c984,AMX-003/개발
36e54070507e4e0eb0d1553428ef1c1ca245afd41eaf7f9f0865d5a19b982ab5,AMX-004/개발
de049d0900a8d1ce841df90be98fc6d13b210ab58437906e5a473d76aa745edb,AMX-004G/양산형･개발
1ce52003001c51b1d428bf871d204381d0befc3f11261422554ddc93f84ac234,AMX-006/고성능화
f10f51091f025a2a786cfff3a5c3dc7da87df27df7dee18c4e08d26d21867ea9,AMX-007/개발
ca6a80bd8afcd850a6161184e890a4d839ab87501b42151fa2b3ae6c74f4c7ad,AMX-008/고성능화
df7401a92f0828d7eb8be7ea71bfb1266aca509fb651dd00c564d5df8ccaa827,AMX-009/개발
6f37d586901a3fd52b6e6bb06e8d55b2145d72f1124f71a834a4007a51195036,AMX-011/신형기･개발
dafcbc1c1ea96a9d0e059ade31bda8a8adbdfa8d6c51f2651b1f969a99062441,AMX-011S/NT전용･개발
1c0e594fc548bfd7424f17152ec614bd96745ce036194e94c2b22bd96a8b63db,AMX-014/사이코뮤탑재
c4d9f4a338488adf9a76b75730461a8fff4e4e65087206c5d7203b1087f15ebe,AMX-015/NT전용･개발
073897611e6f4361ceed289ff57aa2e6474707db962602e2bbd273d79b58ae5e,AMX-101/개발
3468c989af3e8f1339e11e1407324a8d0863d6d5fb5c7e49d48c5a642d68a619,AMX-102/지원형･개발
fe71d171b810b78d2e4a6e98f8dd682150f8728da0439337f01c09adf1cf0c9b,AMX-103/사이코뮤탑재
9750be46781befcc554cf77518d4464b6133ec3c36b503cba8f7497e5a0eb180,AMX-104/지휘관용･개발
