translation_key,korean,dialogue_line_lengths
6c58e8681d735c4a2898e5253e3a352a8984f8944bd2a0aebeba69e1569d5e2a,지온공국,
ea10ab1ea0edf7ddaf7b0b265f8f5ac200895c4416aef6e19afd2bdb08ee1cc3,지구연방,
34acac986256fe989e8d18a6e01e912c577350d6543f0e99fc68bd885595cd6d,에우고/크와트로,
78dcc0cf3150db70618f552b12a1938053bf2df805afc5a4949502e9358bc49b,티탄즈,
9f9fe6701045e6f11bb362c92a5884f6438f248638edc82175d11c64a4e069b8,티탄즈/시로코,
c7aedd537a387755daf9fc7ecba22001978d48e1cd615310a70277737851f51f,액시즈,
5905cd2222e47c391149c256e4cfcd58df9081ee8f19a729c3de92e490dce6ef,액시즈/그레미,
6a003b152caa19aae0232a971902ac913874465d0180b12232e839d0640a085e,신생지온,
3649456a37bda33bda73a75ef59d3eafbdcea9103465d1f553a22949e73c5cbe,정통지온,
c45d6daf438e62649f59b395ee51f608ef00807334ed387b40f8d4518b9383cf,네오지온/캐스발,
bc1571a6c8477642ccfa536480fd0d935e9d11a3e997d882eed1ff2898eaadf7,데라즈 플리트,
a771124b7b6fd528a8d8ec54e5a3ef6e021291838330481db121181a78d76e2c,네오지온,
a9c722a50f2a4bfe6ffbd1d2df18b905a5f8f61606e7d0241ea613f6f5a34468,템 레이군,
8d635cf8b476ed0d16fbb54c926f336dd92182c7a1195716130e3a335233ffe8,반,
51796f09dc7fbcee2acc8070479cd6aafc9dbe528edc34fab4940463eca98aa5,하,
d9038630ee6a0317d5a14968b8eb8f79de28e4f830302e87c7c1b1ce11216649,사,
cb025c9eeff9836fa1ed7ef94b0696ad348d2d9f7e1756585eab3f5103f8e8cc,사,
4d04d361307e0840e92bf37946e2ae0c4d821bbf8e0c3a7a8b23c4372151030e,위,
a7e8e483b57a8689f13c533a0c46f8a73cc723c08b24ad4086349403742b430d,령,
b238b23f187b900ff2c66ac90944794c49f2bb82c3372843f02ed88b22c0006a,장,
8b3368aefb478e9a951913064275f2b76d13dd170b89e528f6e121cf717dbf21,양산형 MS 개발,
064d2232965c298f568dbe27f15372cfb5fad83354f6b92487bae4fe67db0178,짐 한랭지 대응,
2049ba2e7c5809a3a9b730c681f59b2e39c891541bdc922dfc0745e5d685077c,짐 고성능화,
f14a8ba11d2807485b0507f0ec55e6094a734de6a66f2725f7e84f5aaf768a75,짐 커맨드 우주 대응,
517626a45675438fe207e58ee3f0b1805deaef0118617d90489b2ac96e1aa1b1,짐 개량형 개발,
c0b86938e55901276ae1ea8831d6fd8c7dc347cb8170c9e0727a20399013fdcb,짐 출력 강화 실험,
0ba53bd03bdc1648ca938777c6dfbdc3c27b8df60380948fdef0e7968ef6a577,고성능 짐 개발,
6651d80e63649d06471d21c86c061aa0c3034b0a69e03857695e4f1d5f983b7e,티탄즈 사양기 개발,
98e1c1d484eda3a80d107d4f882b7d6acb7251df7233e07410c5025e49b4b9d8,신형 짐 개발,
afc494e52283c42dffd27f680a23669d399f27d6b949c26086020317aec6049d,신형 짐 개발,
5e70d165a616bafc3340ce578061857df416b09590ffddd1693166b9f72b42db,짐Ⅱ 개량형 개발,
97605fda62f062942ee766d2fafdee57120e9b9b737dbbd2276114462cc7a9b7,짐 경량형 개발,
efa2732f4e55e0da09ea2b816087eea3bd15622bfd7e2c8353dfb9b0f87b82e2,짐 저격형 개발,
d0c7525b83a177a623c865857b77d9c74599b50dd0a745d8eec5feaf6d8b441b,짐 저격형 개량,
e701234ebcbdb92ef73c1e86873bb5f0449aa219077521b7fc9912e4574d6917,짐 포격전형 개발,
f793af3a48f76b8f8ce43833509e83e36e6d11e0087d37c3904dd06cea2d7516,짐 포격전형 개량,
ee24951c4dd341637ff62959b4475261eb2b2299e73d3bea1ca59c679b1dcc16,짐 수중형 개발,
155535e7cee5276931b4ca4fb7bd2184bd2f5bb845f054971e5b91ebf83bec98,짐 수중형 개량,
9370174d27b454854f33899d558f3599bea94b66ad09f53edc2f901817a64f75,지원용 기동전차 개발,
11aa3a90aac9160961f273305743e1402daf3b652d23bf7fc06b101cdeb55493,건탱크 양산화,
fa7654ca44a0fc16996e2df03b8c293196483d50b1fe23671578fe895cf01d0c,국지 방위용 차량 개발,
ca8947db96dfd4f9585c9682a5eeac56f999f88eef88a633da05d044c1e7e8f0,지원용 기동포병 개발,
eeeb753b5bedee19a7eebd77c6a5e44c5872e67c7b52c4671f95cbe83b8e46ec,지원용 기동포병 개발,
05f13b21ad17a45939a4eccf47b4a6ab732c64dc11c11f68506b085cf7b14126,건캐논 장갑 강화,
d84c80f95e2ee12b53bf410d92e67e745d444a33d87c0249832a7200e7c46310,신형 건캐논 개발,
ac7a3f0035cc69db1f5a0f83d0eaa666c7bc95c7a89b251a2e3d041dda7e602e,건캐논 개량,
31e1de80ea5fbc0488d687113a40f9dc4ed237ed5d4bc99f31681a728914e8c9,격투용 기동보병 시작,
569bf8f4b7895bbc9244d5098e46561df03a2b7c2053e5ef77dba7f19fc6cf07,격투용 기동보병 개발,
1196cf6f240bc3c065d6b273f1fdee00a690a3ed3f938d97cb4227c37392b401,격투용 기동보병 개발,
64517535453c5e491a6c497c8d5c5056f08f67c0db227bcbf766985824925bd9,MC 실험기 개발,
9dd4c84f67f65561c96f7c2d048c770f33df4141dcdfb6ce28461304d7f82a4f,티탄즈 사양기 개발,
80c95f86e1a61f535261762eb3f09457086381b0f6f5170ef3204c1059cc90a3,캐스발 총수기 개발,
27864326589ebd86314205194fa1f2b4843429276cc07a2c09991635400458fe,NT용 건담 개발,
30f79fed01060ea3e7af252480ddd2f143ffe6d89ad5615e40e0d63c3b05db9d,알렉스용 증가장갑안,
4cdabbec66246322b84f751866b32f12ece802333b8438beef0dd1a5a03ff01e,건담용 증가장갑안,
53e7e2bdf989e2ac3441590bc37c96aae27bc121ed6ef46b4ca9f522dfa7d032,건담 장갑 강화,
cfe901be483ff23ce985f639cc468fe62bdb8a641e9843752dfbe32beccd3c17,대요새용 이동포대 개발,
face52f4cd571b3b1d7ea43e35a71686f32230768ffdc7434d87e2e6ed66d5d7,육전용 MS 양산화,
2d0f365c1d5c4dc1acfce23bcae40b9b74e20259f922054470a2366ed11b9fbf,육전용 MS 양산화,
2f1b54c223a336e4193b39ea0b27fb4dc8e7d23d1b299e36d33a31bf8ee84df4,육전용 MS 개발,
662afb8843dec774c457972f7d0bd22853b227a6872e3dc0987f87566f21f783,육전용 MS 양산화,
9d945a3e2f0a4341904c9c9438bc418272b1e08c3d0f172e18479066223892cd,건담(G): 특수무장,
7ec51514c8d637f76e695222b0ab544a806e2f77895e8efabf7cbdba0b3668bc,건담(G) 개량,
a863b8606c756e899dcafbf7a05e685ffe6c62e3fc49eadc677be12688ee0a48,백병전용 건담 개발,
