glyph,codepoint,tile_index,tile_index_hex,column,row,src_x,src_y,source_text_index,source_char_index
게,U+AC8C,0,0x00,0,0,0,0,0,0
네,U+B124,1,0x01,1,0,8,0,0,1
데,U+B370,2,0x02,2,0,16,0,0,2
떼,U+B5BC,3,0x03,3,0,24,0,0,3
레,U+B808,4,0x04,4,0,32,0,0,4
메,U+BA54,5,0x05,5,0,40,0,0,5
베,U+BCA0,6,0x06,6,0,48,0,0,6
세,U+C138,7,0x07,7,0,56,0,0,7
쎄,U+C384,8,0x08,8,0,64,0,0,8
에,U+C5D0,9,0x09,9,0,72,0,0,9
제,U+C81C,10,0x0a,10,0,80,0,0,10
체,U+CCB4,11,0x0b,11,0,88,0,0,11
케,U+CF00,12,0x0c,12,0,96,0,0,12
테,U+D14C,13,0x0d,13,0,104,0,0,13
페,U+D398,14,0x0e,14,0,112,0,0,14
헤,U+D5E4,15,0x0f,15,0,120,0,0,15
겍,U+AC8D,16,0x10,16,0,128,0,1,0
넥,U+B125,17,0x11,17,0,136,0,1,1
덱,U+B371,18,0x12,18,0,144,0,1,2
떽,U+B5BD,19,0x13,19,0,152,0,1,3
렉,U+B809,20,0x14,20,0,160,0,1,4
멕,U+BA55,21,0x15,21,0,168,0,1,5
벡,U+BCA1,22,0x16,22,0,176,0,1,6
섹,U+C139,23,0x17,23,0,184,0,1,7
쎅,U+C385,24,0x18,24,0,192,0,1,8
엑,U+C5D1,25,0x19,25,0,200,0,1,9
젝,U+C81D,26,0x1a,26,0,208,0,1,10
첵,U+CCB5,27,0x1b,27,0,216,0,1,11
켁,U+CF01,28,0x1c,28,0,224,0,1,12
텍,U+D14D,29,0x1d,29,0,232,0,1,13
펙,U+D399,30,0x1e,30,0,240,0,1,14
헥,U+D5E5,31,0x1f,31,0,248,0,1,15
고,U+ACE0,32,0x20,0,1,0,8,2,0
노,U+B178,33,0x21,1,1,8,8,2,1
도,U+B3C4,34,0x22,2,1,16,8,2,2
또,U+B610,35,0x23,3,1,24,8,2,3
로,U+B85C,36,0x24,4,1,32,8,2,4
모,U+BAA8,37,0x25,5,1,40,8,2,5
보,U+BCF4,38,0x26,6,1,48,8,2,6
소,U+C18C,39,0x27,7,1,56,8,2,7
쏘,U+C3D8,40,0x28,8,1,64,8,2,8
오,U+C624,41,0x29,9,1,72,8,2,9
조,U+C870,42,0x2a,10,1,80,8,2,10
초,U+CD08,43,0x2b,11,1,88,8,2,11
코,U+CF54,44,0x2c,12,1,96,8,2,12
토,U+D1A0,45,0x2d,13,1,104,8,2,13
포,U+D3EC,46,0x2e,14,1,112,8,2,14
호,U+D638,47,0x2f,15,1,120,8,2,15
곡,U+ACE1,48,0x30,16,1,128,8,3,0
녹,U+B179,49,0x31,17,1,136,8,3,1
독,U+B3C5,50,0x32,18,1,144,8,3,2
똑,U+B611,51,0x33,19,1,152,8,3,3
록,U+B85D,52,0x34,20,1,160,8,3,4
목,U+BAA9,53,0x35,21,1,168,8,3,5
